time,x,y,z,roll,pitch,yaw,linx,liny,linz,angx,angy,angz,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762201156.949167,-0.021239,-0.064706,0.930103,-0.001995,-0.007949,-0.995375,-0.006171,0.011900,0.088124,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201156.982285,-0.021239,-0.064706,0.930103,-0.001995,-0.007949,-0.995375,-0.006171,0.011900,0.088124,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.015181,-0.020699,-0.064980,0.935089,-0.001995,-0.007949,-0.995375,-0.007218,0.005633,0.075382,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.048170,-0.020204,-0.065233,0.939663,-0.001904,-0.010185,-0.995351,-0.007217,0.005634,0.075382,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.081201,-0.020204,-0.065233,0.939663,-0.001904,-0.010185,-0.995351,-0.007217,0.005634,0.075382,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.114197,-0.020204,-0.065233,0.939663,-0.001904,-0.010185,-0.995351,-0.007217,0.005634,0.075382,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.147165,-0.019585,-0.065548,0.945387,-0.001904,-0.010185,-0.995351,-0.007217,0.005634,0.075382,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.180147,-0.019209,-0.065218,0.948826,-0.001904,-0.010185,-0.995351,-0.007886,-0.004613,0.062780,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.213161,-0.019209,-0.065218,0.948826,-0.001904,-0.010185,-0.995351,-0.007886,-0.004613,0.062780,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.246168,-0.018909,-0.064954,0.951573,-0.002070,-0.010700,-0.995339,-0.007887,-0.004612,0.062780,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.279170,-0.018909,-0.064954,0.951573,-0.002070,-0.010700,-0.995339,-0.007887,-0.004612,0.062780,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.312167,-0.018458,-0.064558,0.955694,-0.002070,-0.010700,-0.995339,-0.007887,-0.004612,0.062780,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.345142,-0.018458,-0.064558,0.955694,-0.002070,-0.010700,-0.995339,-0.007887,-0.004612,0.062780,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.378142,-0.017697,-0.062834,0.959368,-0.002070,-0.010700,-0.995339,-0.012266,-0.017648,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.411151,-0.017697,-0.062834,0.959368,-0.002070,-0.010700,-0.995339,-0.012266,-0.017648,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.444171,-0.017697,-0.062834,0.959368,-0.002070,-0.010700,-0.995339,-0.012266,-0.017648,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.477203,-0.017043,-0.061351,0.962527,-0.002463,-0.010002,-0.995396,-0.012247,-0.017661,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.510183,-0.017043,-0.061351,0.962527,-0.002463,-0.010002,-0.995396,-0.012247,-0.017661,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.543185,-0.016501,-0.060121,0.965147,-0.002463,-0.010002,-0.995396,-0.012247,-0.017661,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.576148,-0.016125,-0.059270,0.966963,-0.002463,-0.010002,-0.995396,-0.012247,-0.017661,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.609165,-0.016125,-0.059270,0.966963,-0.002463,-0.010002,-0.995396,-0.012247,-0.017661,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.642165,-0.016125,-0.059270,0.966963,-0.002463,-0.010002,-0.995396,-0.012247,-0.017661,0.041900,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.675160,-0.015565,-0.056803,0.969887,-0.002007,-0.008918,-0.995400,-0.010851,-0.024679,0.031172,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.708331,-0.015565,-0.056803,0.969887,-0.002007,-0.008918,-0.995400,-0.010851,-0.024679,0.031172,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201157.741210,-0.015211,-0.055244,0.971736,-0.002007,-0.008918,-0.995400,-0.010851,-0.024679,0.031172,0.000000,0.000000,0.000000,0.375045,-0.000000,-0.000000,-0.000000
1762201157.774183,-0.014790,-0.054063,0.971969,-0.002007,-0.008918,-0.995400,-0.013681,-0.023167,0.005000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201157.807192,-0.014790,-0.054063,0.971969,-0.002007,-0.008918,-0.995400,-0.013681,-0.023167,0.005000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201157.840199,-0.014202,-0.052414,0.972295,-0.001936,-0.007542,-0.995395,-0.013689,-0.023162,0.005000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201157.873189,-0.014202,-0.052414,0.972295,-0.001936,-0.007542,-0.995395,-0.013689,-0.023162,0.005000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201157.906163,-0.013607,-0.050743,0.972624,-0.001936,-0.007542,-0.995395,-0.013689,-0.023162,0.005000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201157.939157,-0.013607,-0.050743,0.972624,-0.001936,-0.007542,-0.995395,-0.013689,-0.023162,0.005000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201157.972158,-0.012966,-0.048945,0.972979,-0.001936,-0.007542,-0.995395,-0.013689,-0.023162,0.005000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.005140,-0.012966,-0.048945,0.972979,-0.001936,-0.007542,-0.995395,-0.013689,-0.023162,0.005000,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.038160,-0.013437,-0.047897,0.976088,0.021952,-0.005220,-0.995247,0.004330,-0.018298,0.050860,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.071152,-0.013437,-0.047897,0.976088,0.021952,-0.005220,-0.995247,0.004330,-0.018298,0.050860,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.104246,-0.013958,-0.046738,0.979525,0.021952,-0.005220,-0.995247,0.004330,-0.018298,0.050860,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.137187,-0.013958,-0.046738,0.979525,0.021952,-0.005220,-0.995247,0.004330,-0.018298,0.050860,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.170165,-0.014470,-0.045600,0.982899,0.021952,-0.005220,-0.995247,0.004330,-0.018298,0.050860,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.203154,-0.014470,-0.045600,0.982899,0.021952,-0.005220,-0.995247,0.004330,-0.018298,0.050860,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.236161,-0.021701,-0.045807,0.986642,0.036234,-0.003717,-0.994841,0.104573,-0.017054,0.054813,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.269144,-0.021701,-0.045807,0.986642,0.036234,-0.003717,-0.994841,0.104573,-0.017054,0.054813,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.302158,-0.029059,-0.046018,0.990449,0.036234,-0.003717,-0.994841,0.104573,-0.017054,0.054813,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.335146,-0.029059,-0.046018,0.990449,0.036234,-0.003717,-0.994841,0.104573,-0.017054,0.054813,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.368175,-0.034968,-0.046187,0.993508,0.036234,-0.003717,-0.994841,0.104573,-0.017054,0.054813,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.401186,-0.034968,-0.046187,0.993508,0.036234,-0.003717,-0.994841,0.104573,-0.017054,0.054813,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.434175,-0.048615,-0.047251,0.995658,0.040019,-0.004253,-0.994707,0.178061,-0.020091,0.028145,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.467152,-0.048615,-0.047251,0.995658,0.040019,-0.004253,-0.994707,0.178061,-0.020091,0.028145,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.500156,-0.059845,-0.048126,0.997427,0.040019,-0.004253,-0.994707,0.178061,-0.020091,0.028145,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.533195,-0.059845,-0.048126,0.997427,0.040019,-0.004253,-0.994707,0.178061,-0.020091,0.028145,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.566204,-0.073317,-0.049177,0.999549,0.040019,-0.004253,-0.994707,0.178061,-0.020091,0.028145,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.599174,-0.073317,-0.049177,0.999549,0.040019,-0.004253,-0.994707,0.178061,-0.020091,0.028145,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.632214,-0.092112,-0.050941,1.001197,0.040019,-0.004253,-0.994707,0.320960,-0.031083,0.028152,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.665211,-0.092112,-0.050941,1.001197,0.040019,-0.004253,-0.994707,0.320960,-0.031083,0.028152,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.698171,-0.114621,-0.053054,1.003171,0.042332,-0.002883,-0.994567,0.320929,-0.031406,0.028152,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.731178,-0.114621,-0.053054,1.003171,0.042332,-0.002883,-0.994567,0.320929,-0.031406,0.028152,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.764167,-0.133724,-0.054848,1.004846,0.042332,-0.002883,-0.994567,0.320929,-0.031406,0.028152,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.797183,-0.133724,-0.054848,1.004846,0.042332,-0.002883,-0.994567,0.320929,-0.031406,0.028152,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.830185,-0.164128,-0.058383,1.005108,0.041732,-0.002723,-0.994564,0.493960,-0.037602,0.004243,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.863176,-0.164128,-0.058383,1.005108,0.041732,-0.002723,-0.994564,0.493960,-0.037602,0.004243,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.896144,-0.200225,-0.062580,1.005420,0.041732,-0.002723,-0.994564,0.493960,-0.037602,0.004243,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.929142,-0.200225,-0.062580,1.005420,0.041732,-0.002723,-0.994564,0.493960,-0.037602,0.004243,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.962172,-0.236746,-0.066826,1.005735,0.041732,-0.002723,-0.994564,0.493960,-0.037602,0.004243,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201158.995170,-0.236746,-0.066826,1.005735,0.041732,-0.002723,-0.994564,0.493960,-0.037602,0.004243,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.028168,-0.274587,-0.071671,1.005151,0.041732,-0.002723,-0.994564,0.623643,-0.040209,-0.009560,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.061182,-0.274587,-0.071671,1.005151,0.041732,-0.002723,-0.994564,0.623643,-0.040209,-0.009560,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.094164,-0.316773,-0.077072,1.004500,0.040699,-0.003763,-0.994581,0.623622,-0.040537,-0.009560,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.127142,-0.316773,-0.077072,1.004500,0.040699,-0.003763,-0.994581,0.623622,-0.040537,-0.009560,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.160161,-0.360336,-0.082650,1.003828,0.040699,-0.003763,-0.994581,0.623622,-0.040537,-0.009560,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.193149,-0.360336,-0.082650,1.003828,0.040699,-0.003763,-0.994581,0.623622,-0.040537,-0.009560,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.226190,-0.410118,-0.089881,1.004165,0.040815,-0.003558,-0.994607,0.757591,-0.035910,0.005068,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.259147,-0.410118,-0.089881,1.004165,0.040815,-0.003558,-0.994607,0.757591,-0.035910,0.005068,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.292192,-0.460055,-0.097134,1.004502,0.040815,-0.003558,-0.994607,0.757591,-0.035910,0.005068,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.325203,-0.460055,-0.097134,1.004502,0.040815,-0.003558,-0.994607,0.757591,-0.035910,0.005068,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.358227,-0.500800,-0.103052,1.004777,0.040815,-0.003558,-0.994607,0.757591,-0.035910,0.005068,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.391281,-0.500800,-0.103052,1.004777,0.040815,-0.003558,-0.994607,0.757591,-0.035910,0.005068,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.424176,-0.500800,-0.103052,1.004777,0.040815,-0.003558,-0.994607,0.757591,-0.035910,0.005068,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.457182,-0.574261,-0.114641,1.006183,0.040799,-0.003415,-0.994617,0.913933,-0.031957,0.017283,0.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000
1762201159.490205,-0.574261,-0.114641,1.006183,0.040799,-0.003415,-0.994617,0.913933,-0.031957,0.017283,0.000000,0.000000,0.000000,0.597091,-0.000000,-0.000000,-0.000000
1762201159.523163,-0.633699,-0.124018,1.007320,0.040799,-0.003415,-0.994617,0.913933,-0.031957,0.017283,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.556172,-0.633699,-0.124018,1.007320,0.040799,-0.003415,-0.994617,0.913933,-0.031957,0.017283,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.589176,-0.692469,-0.133290,1.008444,0.040799,-0.003415,-0.994617,0.913933,-0.031957,0.017283,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.622284,-0.752359,-0.142572,1.007941,0.040799,-0.003415,-0.994617,1.034124,-0.038972,-0.008597,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.655175,-0.752359,-0.142572,1.007941,0.040799,-0.003415,-0.994617,1.034124,-0.038972,-0.008597,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.688165,-0.752359,-0.142572,1.007941,0.040799,-0.003415,-0.994617,1.034124,-0.038972,-0.008597,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.721164,-0.827723,-0.154251,1.007307,0.040397,-0.003555,-0.994630,1.034121,-0.039034,-0.008597,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.754209,-0.827723,-0.154251,1.007307,0.040397,-0.003555,-0.994630,1.034121,-0.039034,-0.008597,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.787188,-0.896078,-0.164845,1.006733,0.040397,-0.003555,-0.994630,1.034121,-0.039034,-0.008597,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.820171,-0.896078,-0.164845,1.006733,0.040397,-0.003555,-0.994630,1.034121,-0.039034,-0.008597,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.853171,-0.959654,-0.173501,1.006254,-0.080336,-0.009138,-0.992146,0.965310,-0.054361,-0.007220,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.886200,-0.959654,-0.173501,1.006254,-0.080336,-0.009138,-0.992146,0.965310,-0.054361,-0.007220,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.919196,-1.023390,-0.182178,1.005773,-0.080336,-0.009138,-0.992146,0.965310,-0.054361,-0.007220,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.952165,-1.058312,-0.186932,1.005510,-0.080336,-0.009138,-0.992146,0.965310,-0.054361,-0.007220,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201159.985207,-1.058312,-0.186932,1.005510,-0.080336,-0.009138,-0.992146,0.965310,-0.054361,-0.007220,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.018194,-1.058312,-0.186932,1.005510,-0.080336,-0.009138,-0.992146,0.965310,-0.054361,-0.007220,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.051192,-1.107484,-0.194154,1.002212,-0.080336,-0.009138,-0.992146,0.493928,-0.022613,-0.032806,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.084158,-1.107484,-0.194154,1.002212,-0.080336,-0.009138,-0.992146,0.493928,-0.022613,-0.032806,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.117162,-1.138455,-0.198702,1.000136,-0.091917,-0.008677,-0.991116,0.493903,-0.023134,-0.032806,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.150149,-1.156483,-0.201350,0.998927,-0.091917,-0.008677,-0.991116,0.493903,-0.023134,-0.032806,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.183154,-1.156483,-0.201350,0.998927,-0.091917,-0.008677,-0.991116,0.493903,-0.023134,-0.032806,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.216204,-1.156483,-0.201350,0.998927,-0.091917,-0.008677,-0.991116,0.493903,-0.023134,-0.032806,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.249180,-1.174073,-0.205058,0.997024,-0.055790,-0.008158,-0.993810,0.187917,0.003010,-0.019895,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
1762201160.282156,-1.174073,-0.205058,0.997024,-0.055790,-0.008158,-0.993810,0.187917,0.003010,-0.019895,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.315194,-1.186439,-0.207664,0.995686,-0.055790,-0.008158,-0.993810,0.187917,0.003010,-0.019895,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.348205,-1.186439,-0.207664,0.995686,-0.055790,-0.008158,-0.993810,0.187917,0.003010,-0.019895,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.381158,-1.198793,-0.210268,0.994349,-0.055790,-0.008158,-0.993810,0.187917,0.003010,-0.019895,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.414195,-1.198793,-0.210268,0.994349,-0.055790,-0.008158,-0.993810,0.187917,0.003010,-0.019895,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.447170,-1.200385,-0.211173,0.993933,-0.025687,-0.006551,-0.995045,0.027680,0.009339,-0.006646,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.480165,-1.201367,-0.211732,0.993676,-0.025687,-0.006551,-0.995045,0.027680,0.009339,-0.006646,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.513173,-1.201367,-0.211732,0.993676,-0.025687,-0.006551,-0.995045,0.027680,0.009339,-0.006646,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.546154,-1.202929,-0.212621,0.993267,-0.025687,-0.006551,-0.995045,0.027680,0.009339,-0.006646,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.579170,-1.202929,-0.212621,0.993267,-0.025687,-0.006551,-0.995045,0.027680,0.009339,-0.006646,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.612174,-1.204607,-0.213575,0.992828,-0.025687,-0.006551,-0.995045,0.027680,0.009339,-0.006646,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.645149,-1.204607,-0.213575,0.992828,-0.025687,-0.006551,-0.995045,0.027680,0.009339,-0.006646,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.678171,-1.204607,-0.213575,0.992828,-0.025687,-0.006551,-0.995045,0.027680,0.009339,-0.006646,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.711164,-1.196333,-0.212568,0.993436,-0.041820,-0.007875,-0.994517,-0.079121,0.005554,0.005789,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.744184,-1.194164,-0.212304,0.993596,-0.041820,-0.007875,-0.994517,-0.079121,0.005554,0.005789,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.777158,-1.194164,-0.212304,0.993596,-0.041820,-0.007875,-0.994517,-0.079121,0.005554,0.005789,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.810159,-1.181411,-0.210552,0.992985,-0.041820,-0.007875,-0.994517,-0.179288,0.009815,-0.008511,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.843186,-1.181411,-0.210552,0.992985,-0.041820,-0.007875,-0.994517,-0.179288,0.009815,-0.008511,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.876199,-1.170030,-0.208989,0.992441,-0.044195,-0.008165,-0.994389,-0.179284,0.009900,-0.008511,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.909150,-1.170030,-0.208989,0.992441,-0.044195,-0.008165,-0.994389,-0.179284,0.009900,-0.008511,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.942147,-1.159046,-0.207480,0.991915,-0.044195,-0.008165,-0.994389,-0.179284,0.009900,-0.008511,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201160.975202,-1.159046,-0.207480,0.991915,-0.044195,-0.008165,-0.994389,-0.179284,0.009900,-0.008511,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.008184,-1.146396,-0.205743,0.991310,-0.044195,-0.008165,-0.994389,-0.179284,0.009900,-0.008511,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.041162,-1.146396,-0.205743,0.991310,-0.044195,-0.008165,-0.994389,-0.179284,0.009900,-0.008511,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.074162,-1.123730,-0.201884,0.989941,-0.044945,-0.009051,-0.994363,-0.337295,0.007643,-0.020091,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.107299,-1.123730,-0.201884,0.989941,-0.044945,-0.009051,-0.994363,-0.337295,0.007643,-0.020091,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.140203,-1.102640,-0.198294,0.988667,-0.044945,-0.009051,-0.994363,-0.337295,0.007643,-0.020091,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.173228,-1.102640,-0.198294,0.988667,-0.044945,-0.009051,-0.994363,-0.337295,0.007643,-0.020091,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.206197,-1.070161,-0.192575,0.989484,-0.044945,-0.009051,-0.994363,-0.514077,0.008734,0.012735,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.239239,-1.070161,-0.192575,0.989484,-0.044945,-0.009051,-0.994363,-0.514077,0.008734,0.012735,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.272300,-1.035585,-0.186488,0.990353,-0.045233,-0.009093,-0.994420,-0.514090,0.007977,0.012735,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.305209,-1.035585,-0.186488,0.990353,-0.045233,-0.009093,-0.994420,-0.514090,0.007977,0.012735,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.338173,-1.001286,-0.180449,0.991216,-0.045233,-0.009093,-0.994420,-0.514090,0.007977,0.012735,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.371202,-1.001286,-0.180449,0.991216,-0.045233,-0.009093,-0.994420,-0.514090,0.007977,0.012735,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.404195,-0.968014,-0.174591,0.992053,-0.045233,-0.009093,-0.994420,-0.514090,0.007977,0.012735,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.437234,-0.968014,-0.174591,0.992053,-0.045233,-0.009093,-0.994420,-0.514090,0.007977,0.012735,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.470196,-0.921722,-0.166380,0.990391,-0.043430,-0.008687,-0.994538,-0.655919,0.008882,-0.023179,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.503160,-0.921722,-0.166380,0.990391,-0.043430,-0.008687,-0.994538,-0.655919,0.008882,-0.023179,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.536165,-0.880019,-0.158983,0.988895,-0.043430,-0.008687,-0.994538,-0.655919,0.008882,-0.023179,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.569192,-0.880019,-0.158983,0.988895,-0.043430,-0.008687,-0.994538,-0.655919,0.008882,-0.023179,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
1762201161.602195,-0.843627,-0.152528,0.987589,-0.043430,-0.008687,-0.994538,-0.655919,0.008882,-0.023179,0.000000,0.000000,0.000000,-1.000000,-0.000000,-0.000000,-0.000000
